Assign Equipment ID,PO Numbers:,Booking Number,Shipment Load Type,Invoice Number,BL / Waybill #,Select Carrier,Updated Transload Location (US Only),Estimated Departure Date,Equipment # Type,Seal Number,CTN QTY,UNITS
JV4206,3000037494,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037505,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037513,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037524,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037571,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037580,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037590,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037604,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037636,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037653,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037669,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037729,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037792,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038244,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038341,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038716,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038874,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038886,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039001,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039197,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039209,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039233,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039944,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039954,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040127,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040133,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040168,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040512,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040680,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040692,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040705,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042013,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042027,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042058,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042074,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042085,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042097,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042106,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042113,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042126,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042683,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042693,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036114,NA,"CFS: LCL, consolidator lod",891,1670255274,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
